dmf,therapeutic_class,country,year
MF 030474,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",China,2016
MF 034929,,India,2020
MF 015727,,India,2001
MF 027637,Central Nervous System Agents,India,2013
MF 032506,Blood Products and Modifiers,United States,2018
MF 023419,,United States,2010
MF 022225,,India,2008
MF 027047,,India,2013
MF 028416,,China,2014
MF 031341,Antiparasitics,India,2017
MF 033222,Cardiovascular Agents,India,2018
MF 019014,Respiratory Tract/Pulmonary Agents,India,2005
MF 019428,,India,2006
MF 031698,,Spain,2017
MF 030942,"Hormonal Agents, Stimulant/Replacement/Modifying (Thyroid)",India,2016
MF 020993,Ophthalmic Agents,Germany,2007
MF 020213,Antimigraine Agents,United States,2007
MF 020787,Ophthalmic Agents,United States,2007
MF 031999,Antipsychotics,India,2017
MF 025214,Antibacterials,China,2011
MF 019549,Antidementia Agents,Italy,2006
MF 024381,Antidementia Agents,India,2010
MF 015986,Skeletal Muscle Relaxants,United States,2002
MF 033623,,Argentina,2019
MF 033571,,United States,2019
MF 021935,Cardiovascular Agents,India,2008
MF 028494,Cardiovascular Agents,India,2014
MF 020222,Analgesics,India,2007
MF 022552,,India,2009
MF 030617,,India,2016
MF 032035,,China,2019
MF 035617,,India,2021
MF 015272,,Italy,2001
MF 020424,,India,2007
MF 023354,Respiratory Tract/Pulmonary Agents,India,2009
MF 024124,Respiratory Tract/Pulmonary Agents,India,2010
MF 025099,Respiratory Tract/Pulmonary Agents,India,2011
MF 032976,Antineoplastics,China,2018
MF 032644,Antiparasitics,India,2018
MF 017221,,Switzerland,2004
MF 033409,,India,2018
MF 030985,,United States,2016
MF 028039,,India,2014
MF 028442,,India,2014
MF 028029,,India,2014
MF 022290,Antiemetics,China,2008
MF 022290,Antiparkinson Agents,China,2008
MF 035174,Antiemetics,India,2020
MF 035601,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",China,2021
MF 033163,,India,2018
MF 020109,Cardiovascular Agents,India,2007
MF 020285,Cardiovascular Agents,India,2007
MF 020882,Cardiovascular Agents,Malta,2007
MF 026123,Cardiovascular Agents,India,2012
MF 028493,Antidepressants,India,2014
MF 019531,Anesthetics,Sweden,2006
MF 019531,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Sweden,2006
MF 028784,Anesthetics,India,2014
MF 028784,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2014
MF 028784,,India,2014
MF 025963,Inflammatory Bowel Disease Agents,India,2012
MF 029990,Gastrointestinal Agents,Italy,2015
MF 029114,Dermatological Agents,Italy,2015
MF 018974,Sleep Disorder Agents,India,2005
MF 020984,Sleep Disorder Agents,France,2007
MF 021193,Sleep Disorder Agents,India,2007
MF 032483,Antibacterials,China,2018
MF 020878,,United States,2007
MF 033878,,Spain,2019
MF 034704,,India,2020
MF 035171,,China,2020
MF 036364,,India,2021
MF 022697,,China,2009
MF 020684,Respiratory Tract/Pulmonary Agents,India,2007
MF 021657,Anti-obesity Agents,Mexico,2008
MF 028371,Anti-obesity Agents,China,2014
MF 018700,Antimigraine Agents,India,2005
MF 020581,Anti-obesity Agents,Poland,2007
MF 019247,Anti-obesity Agents,India,2006
MF 019325,Antimigraine Agents,India,2006
MF 019325,Anticonvulsants,India,2006
MF 018346,Anticonvulsants,India,2005
MF 022427,Ophthalmic Agents,Spain,2009
MF 022427,Dermatological Agents,Spain,2009
MF 019422,Dermatological Agents,Italy,2006
MF 028608,,India,2014
MF 031397,Antigout Agents,India,2017
MF 026815,Antigout Agents,India,2013
MF 031340,Antigout Agents,India,2017
MF 020476,Gastrointestinal Agents,India,2007
MF 016058,Electrolytes/Minerals/Metals/Vitamins,India,2002
MF 023876,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Slovakia,2010
MF 035892,Inflammatory Bowel Disease Agents,China,2021
MF 022030,Ophthalmic Agents,China,2008
MF 028616,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2014
MF 028616,Antibacterials,China,2014
MF 031587,Dermatological Agents,China,2017
MF 031587,Ophthalmic Agents,China,2017
MF 019448,,India,2006
MF 019902,Gastrointestinal Agents,India,2006
MF 027052,Electrolytes/Minerals/Metals/Vitamins,India,2013
MF 028304,,China,2014
MF 025503,Antimigraine Agents,India,2011
MF 028750,,India,2014
MF 033750,,India,2019
MF 023537,Cardiovascular Agents,Taiwan,2010
MF 014985,Cardiovascular Agents,Italy,2000
MF 031297,,Taiwan,2017
MF 034146,,China,2019
MF 035243,,India,2020
MF 021736,Gastrointestinal Agents,India,2008
MF 024924,Gastrointestinal Agents,Spain,2011
MF 027447,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2013
MF 033097,Analgesics,India,2019
MF 035629,Anticonvulsants,China,2021
MF 035316,Anticonvulsants,India,2020
MF 021557,,India,2008
MF 033373,,India,2018
MF 023322,,India,2009
MF 022230,,India,2008
MF 025051,,India,2011
MF 015585,Dermatological Agents,Czech Republic,2001
MF 033662,,India,2019
MF 031406,Anticonvulsants,China,2017
MF 024700,Anticonvulsants,India,2011
MF 027354,Anticonvulsants,India,2013
MF 034852,Central Nervous System Agents,India,2020
MF 022223,Anticonvulsants,China,2008
MF 026317,Central Nervous System Agents,India,2012
MF 034774,Anticonvulsants,India,2020
MF 026076,Antiparasitics,India,2012
MF 024441,Analgesics,India,2010
MF 035045,Blood Products and Modifiers,India,2020
MF 035045,Skeletal Muscle Relaxants,India,2020
MF 029745,Analgesics,India,2015
MF 027672,Cardiovascular Agents,China,2013
MF 032524,Antifungals,India,2018
MF 035440,Antifungals,Spain,2020
MF 032406,,India,2017
MF 033502,Sexual Disorder Agents,China,2019
MF 020640,Sexual Disorder Agents,India,2007
MF 020640,Respiratory Tract/Pulmonary Agents,India,2007
MF 029765,Sexual Disorder Agents,India,2015
MF 029765,Genitourinary Agents,India,2015
MF 033012,Sexual Disorder Agents,China,2018
MF 033012,Genitourinary Agents,China,2018
MF 036457,,China,2021
MF 023396,Cardiovascular Agents,India,2009
MF 032157,Antibacterials,Mexico,2017
MF 023367,Antipsychotics,India,2009
MF 035000,Antipsychotics,India,2020
MF 030722,Antipsychotics,India,2016
MF 027503,Antipsychotics,China,2013
MF 036385,Ophthalmic Agents,Italy,2021
MF 033893,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2019
MF 035739,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2021
MF 016002,Analgesics,India,2002
MF 036522,,India,2021
MF 031531,,Poland,2018
MF 032934,Antineoplastics,India,2018
MF 032925,Antineoplastics,Taiwan,2018
MF 035159,,China,2020
MF 029741,,China,2015
MF 028596,,China,2014
MF 027233,,India,2013
MF 023511,Respiratory Tract/Pulmonary Agents,India,2010
MF 017667,,Japan,2004
MF 021215,,India,2007
MF 017520,Antipsychotics,India,2004
MF 019267,Antipsychotics,India,2006
MF 015682,Bipolar Agents,Spain,2001
MF 026099,,India,2012
MF 035606,,India,2021
MF 026794,,India,2012
MF 024383,Antivirals,China,2010
MF 035426,,India,2020
MF 023009,Ophthalmic Agents,Taiwan,2009
MF 023009,Antimigraine Agents,Taiwan,2009
MF 018493,,India,2005
MF 018149,,India,2005
MF 032041,Antipsychotics,India,2017
MF 026195,Antipsychotics,India,2012
MF 031184,Gastrointestinal Agents,United Kingdom,2016
MF 023962,,India,2010
MF 035940,,India,2021
MF 017093,Blood Glucose Regulators,India,2004
MF 022505,Electrolytes/Minerals/Metals/Vitamins,India,2009
MF 020450,,China,2007
MF 030393,Electrolytes/Minerals/Metals/Vitamins,China,2016
MF 030927,,India,2016
MF 023974,,China,2010
MF 030512,,United States,2016
MF 031349,Inflammatory Bowel Disease Agents,India,2017
MF 036074,Inflammatory Bowel Disease Agents,China,2021
MF 036074,,China,2021
MF 028066,Inflammatory Bowel Disease Agents,China,2014
MF 028500,Antibacterials,China,2014
MF 022431,Gastrointestinal Agents,India,2009
MF 015839,Analgesics,China,2002
MF 035215,Analgesics,India,2020
MF 022089,Antiemetics,China,2008
MF 032107,,India,2017
MF 019549,,Italy,2006
MF 034694,,India,2020
MF 033689,,India,2019
MF 025464,,China,2011
MF 022548,Gastrointestinal Agents,India,2009
MF 022548,Contraceptives,India,2009
MF 030593,,India,2016
MF 019555,Antibacterials,India,2006
MF 035305,Antibacterials,India,2021
MF 022663,Gastrointestinal Agents,India,2009
MF 021605,Gastrointestinal Agents,India,2008
MF 028471,Respiratory Tract/Pulmonary Agents,Spain,2014
MF 032093,Respiratory Tract/Pulmonary Agents,United States,2017
MF 028516,Respiratory Tract/Pulmonary Agents,India,2014
MF 015596,Analgesics,Taiwan,2001
MF 031112,Skeletal Muscle Relaxants,China,2016
MF 032084,Blood Glucose Regulators,India,2017
MF 031992,Blood Glucose Regulators,India,2017
MF 031880,Blood Glucose Regulators,India,2017
MF 030490,Antineoplastics,India,2016
MF 033629,Bipolar Agents,India,2019
MF 036084,,India,2021
MF 015803,,United States,2002
MF 030820,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2016
MF 030820,Dermatological Agents,India,2016
MF 029685,Anesthetics,China,2015
MF 032243,Ophthalmic Agents,China,2017
MF 017862,Anticonvulsants,India,2004
MF 018956,Inflammatory Bowel Disease Agents,China,2006
MF 027325,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Italy,2013
MF 023428,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Italy,2010
MF 018469,Antibacterials,India,2005
MF 021060,,Switzerland,2007
MF 021348,Anti-addiction/Substance Abuse Treatment Agents,Italy,2008
MF 025201,Antidepressants,Switzerland,2011
MF 015847,Cardiovascular Agents,India,2002
MF 024964,,Austria,2011
MF 023324,,Japan,2009
MF 028530,Respiratory Tract/Pulmonary Agents,China,2014
MF 026128,Blood Products and Modifiers,Japan,2012
MF 023622,,China,2010
MF 031275,,Canada,2017
MF 033067,,India,2019
MF 019301,Cardiovascular Agents,India,2006
MF 034826,Cardiovascular Agents,India,2020
MF 024797,Cardiovascular Agents,India,2011
MF 024999,,Spain,2011
MF 020582,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2007
MF 035232,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2020
MF 024486,Dermatological Agents,Malaysia,2010
MF 030651,Gastrointestinal Agents,United Kingdom,2016
MF 030651,Contraceptives,United Kingdom,2016
MF 023443,,India,2010
MF 031557,Gastrointestinal Agents,United States,2017
MF 024913,"Hormonal Agents, Suppressant (Pituitary)",France,2011
MF 022507,"Hormonal Agents, Suppressant (Pituitary)",India,2009
MF 034207,,China,2019
MF 035358,,Taiwan,2020
MF 021154,,India,2007
MF 028992,,India,2015
MF 030973,,Taiwan,2017
MF 025682,,India,2012
MF 031274,,India,2016
MF 030922,,India,2016
MF 032423,,India,2018
MF 032201,,India,2017
MF 020572,,India,2007
MF 035826,Electrolytes/Minerals/Metals/Vitamins,Republic Of Korea,2021
MF 024646,Antidepressants,India,2012
MF 030756,Antidepressants,India,2016
MF 031379,Antidepressants,India,2017
MF 028387,,India,2014
MF 028322,,Argentina,2014
MF 028276,,India,2014
MF 028162,,India,2014
MF 031922,Genitourinary Agents,India,2017
MF 032411,Electrolytes/Minerals/Metals/Vitamins,India,2018
MF 032411,Genitourinary Agents,India,2018
MF 033106,Genitourinary Agents,United States,2018
MF 033225,Anticonvulsants,India,2018
MF 033154,Anticonvulsants,India,2018
MF 020501,Antibacterials,China,2007
MF 025534,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2011
MF 018014,Antispasticity Agents,Poland,2005
MF 034910,Electrolytes/Minerals/Metals/Vitamins,India,2020
MF 027242,,India,2013
MF 025956,,India,2012
MF 028384,,China,2014
MF 023543,Analgesics,India,2010
MF 023161,Cardiovascular Agents,India,2009
MF 028020,Cardiovascular Agents,India,2014
MF 027384,Analgesics,India,2015
MF 031971,Cardiovascular Agents,India,2017
MF 025792,Cardiovascular Agents,India,2012
MF 034759,Blood Products and Modifiers,India,2020
MF 017255,Antimycobacterials,Spain,2004
MF 021310,Skeletal Muscle Relaxants,India,2008
MF 022897,Antibacterials,China,2009
MF 022897,Skeletal Muscle Relaxants,China,2009
MF 024118,Skeletal Muscle Relaxants,China,2010
MF 024923,Antimycobacterials,China,2011
MF 034421,,China,2020
MF 028375,,France,2014
MF 015208,Cardiovascular Agents,Germany,2000
MF 035760,Cardiovascular Agents,India,2021
MF 022552,Gastrointestinal Agents,India,2009
MF 018260,Antipsychotics,India,2005
MF 021980,Bipolar Agents,Canada,2008
MF 022555,Antipsychotics,India,2009
MF 023597,Bipolar Agents,China,2010
MF 029975,Respiratory Tract/Pulmonary Agents,India,2015
MF 020212,Ophthalmic Agents,China,2007
MF 016334,Respiratory Tract/Pulmonary Agents,Portugal,2002
MF 034126,Dermatological Agents,China,2019
MF 034273,Ophthalmic Agents,China,2019
MF 017618,Ophthalmic Agents,Israel,2004
MF 033894,Inflammatory Bowel Disease Agents,Finland,2019
MF 033894,Respiratory Tract/Pulmonary Agents,Finland,2019
MF 032936,Respiratory Tract/Pulmonary Agents,Italy,2018
MF 016628,Inflammatory Bowel Disease Agents,Spain,2003
MF 027574,,Italy,2013
MF 019450,,China,2006
MF 016140,Sleep Disorder Agents,Israel,2002
MF 031803,Gastrointestinal Agents,United States,2020
MF 035188,Blood Glucose Regulators,China,2020
MF 021479,Sleep Disorder Agents,India,2008
MF 035042,Ophthalmic Agents,China,2020
MF 035042,Antibacterials,China,2020
MF 019506,Antibacterials,China,2006
MF 019506,Respiratory Tract/Pulmonary Agents,China,2006
MF 032991,Antiemetics,India,2018
MF 019177,Dental and Oral Agents,Sweden,2006
MF 033285,Analgesics,Brazil,2018
MF 035322,Inflammatory Bowel Disease Agents,India,2020
MF 035322,Dermatological Agents,India,2020
MF 029028,Antineoplastics,India,2015
MF 025344,Antineoplastics,India,2011
MF 028580,Antineoplastics,United States,2014
MF 026534,Antineoplastics,Brazil,2012
MF 027715,Antineoplastics,China,2013
MF 028617,Dental and Oral Agents,India,2014
MF 028749,Dental and Oral Agents,India,2014
MF 028749,,India,2014
MF 029210,,United States,2015
MF 029210,Anesthetics,United States,2015
MF 035384,,India,2020
MF 031799,,China,2017
MF 034989,,France,2020
MF 027035,,Czech Republic,2013
MF 024508,,China,2010
MF 027959,,India,2014
MF 036112,,India,2021
MF 020623,Antidepressants,France,2007
MF 023142,Antidepressants,France,2009
MF 018319,Cardiovascular Agents,Taiwan,2005
MF 018057,Antiemetics,Taiwan,2005
MF 023083,Skeletal Muscle Relaxants,Germany,2009
MF 023083,Antiemetics,Germany,2009
MF 035046,Ophthalmic Agents,India,2020
MF 035046,Dermatological Agents,India,2020
MF 031754,Antibacterials,Malaysia,2017
MF 018826,Dermatological Agents,Switzerland,2005
MF 017573,Cardiovascular Agents,Taiwan,2004
MF 019589,Antiemetics,India,2006
MF 019635,Antipsychotics,India,2006
MF 032142,,India,2017
MF 021132,Antidementia Agents,India,2007
MF 019129,Antidementia Agents,India,2006
MF 022380,Antidementia Agents,India,2008
MF 030335,,India,2016
MF 031559,,United States,2017
MF 031298,Anticonvulsants,India,2017
MF 017945,Anticonvulsants,India,2004
MF 028217,Electrolytes/Minerals/Metals/Vitamins,India,2014
MF 019539,,Hungary,2006
MF 033820,,China,2019
MF 020364,,India,2007
MF 027510,Dermatological Agents,China,2013
MF 029116,Dermatological Agents,China,2015
MF 028615,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2014
MF 026544,Gastrointestinal Agents,China,2012
MF 022065,,India,2008
MF 015425,Central Nervous System Agents,United States,2001
MF 027465,Ophthalmic Agents,Italy,2013
MF 026311,Antibacterials,China,2012
MF 019386,,India,2005
MF 030131,,Taiwan,2015
MF 022679,,India,2009
MF 019879,,India,2006
MF 030107,,India,2016
MF 032382,Ophthalmic Agents,India,2018
MF 027982,Ophthalmic Agents,Spain,2014
MF 033911,,Italy,2019
MF 034523,Contraceptives,Italy,2020
MF 015161,Antifungals,India,2000
MF 015045,Antifungals,India,2000
MF 024437,Antifungals,India,2010
MF 022046,Immunological Agents,Taiwan,2008
MF 021079,Immunological Agents,Germany,2007
MF 032401,,India,2018
MF 029451,Antineoplastics,India,2015
MF 032894,Antineoplastics,India,2018
MF 025342,,Republic Of Korea,2011
MF 029437,,Jordan,2015
MF 026388,,China,2012
MF 031927,,Taiwan,2018
MF 029717,,India,2015
MF 030285,,India,2016
MF 033838,,Finland,2019
MF 028160,,Germany,2014
MF 034170,,India,2019
MF 033870,,India,2019
MF 024633,Anti-addiction/Substance Abuse Treatment Agents,United States,2011
MF 026856,Respiratory Tract/Pulmonary Agents,China,2013
MF 026856,Antibacterials,China,2013
MF 029141,Electrolytes/Minerals/Metals/Vitamins,China,2015
MF 029141,Gastrointestinal Agents,China,2015
MF 035184,,India,2021
MF 033127,,India,2018
MF 034008,,Italy,2019
MF 016734,,Mexico,2003
MF 032286,Dermatological Agents,India,2017
MF 027081,Dermatological Agents,Japan,2013
MF 021870,Dermatological Agents,Japan,2008
MF 026182,Dermatological Agents,Canada,2012
MF 023310,Dermatological Agents,India,2009
MF 027131,,United States,2000
MF 031076,,India,2016
MF 029734,Genitourinary Agents,India,2015
MF 032885,Contraceptives,India,2018
MF 023580,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2010
MF 021175,Antineoplastics,Taiwan,2007
MF 025275,Antineoplastics,Malaysia,2011
MF 022439,Antineoplastics,Italy,2009
MF 016242,Antineoplastics,Italy,2002
MF 026688,Antineoplastics,India,2012
MF 020977,Antineoplastics,Italy,2007
MF 036234,Antigout Agents,India,2021
MF 019407,Cardiovascular Agents,China,2006
MF 026148,,Italy,2012
MF 031158,,India,2016
MF 030718,,Republic Of Korea,2017
MF 031939,,India,2018
MF 035211,,Malta,2020
MF 027822,Cardiovascular Agents,France,2014
MF 021732,Cardiovascular Agents,India,2008
MF 034890,Cardiovascular Agents,India,2020
MF 017740,Bipolar Agents,India,2004
MF 031899,Dermatological Agents,India,2017
MF 033944,Respiratory Tract/Pulmonary Agents,India,2019
MF 021356,Respiratory Tract/Pulmonary Agents,India,2008
MF 035651,Electrolytes/Minerals/Metals/Vitamins,India,2021
MF 032857,,China,2018
MF 016189,Anesthetics,India,2002
MF 017148,Analgesics,India,2004
MF 018984,Analgesics,Spain,2005
MF 033274,Anticonvulsants,India,2018
MF 032999,Anticonvulsants,China,2018
MF 034484,Anticonvulsants,India,2019
MF 033894,,Finland,2019
MF 023906,Antineoplastics,Taiwan,2010
MF 023906,Central Nervous System Agents,Taiwan,2010
MF 021588,Anti-addiction/Substance Abuse Treatment Agents,United States,2008
MF 029317,Anti-addiction/Substance Abuse Treatment Agents,United States,2015
MF 029317,Anti-obesity Agents,United States,2015
MF 033076,,France,2018
MF 021118,Immunological Agents,China,2007
MF 030940,Antifungals,Israel,2017
MF 029605,Gastrointestinal Agents,India,2015
MF 025436,,United States,2011
MF 016725,,United States,2003
MF 021991,,Brazil,2008
MF 022496,,China,2008
MF 017395,Ophthalmic Agents,Italy,2004
MF 016044,Cardiovascular Agents,Spain,2002
MF 022823,,Israel,2009
MF 031290,Blood Glucose Regulators,India,2017
MF 030771,Blood Glucose Regulators,India,2016
MF 030449,Blood Glucose Regulators,India,2016
MF 017958,Cardiovascular Agents,India,2004
MF 014702,Cardiovascular Agents,Italy,2000
MF 031859,Skeletal Muscle Relaxants,India,2017
MF 023434,Skeletal Muscle Relaxants,Taiwan,2010
MF 036167,Skeletal Muscle Relaxants,India,2021
MF 022050,,India,2008
MF 015325,Antimycobacterials,Canada,2001
MF 032085,,India,2017
MF 021009,,India,2007
